Name,Modality,Bodypart
D:\Intership\data\Normal- (318).jpg,CT,Abdominal
D:\Intership\data\Stone- (341).jpg,CT,Abdominal
D:\Intership\data\NORMAL-6002769-0001.jpg,XRay,Chest
D:\Intership\data\N15_0_33.jpg,CT,Brain
D:\Intership\data\Cyst- (3567).jpg,CT,Abdominal
D:\Intership\data\Tumor- (1987).jpg,CT,Abdominal
D:\Intership\data\12516.jpg,XRay,Hand
D:\Intership\data\Tumor- (1705).jpg,CT,Abdominal
D:\Intership\data\Not Cancer  (98).jpg,CT,Brain
D:\Intership\data\Tumor- (541).jpg,CT,Abdominal
D:\Intership\data\4047.jpg,XRay,Hand
D:\Intership\data\12689.jpg,XRay,Hand
D:\Intership\data\Cyst- (2394).jpg,CT,Abdominal
D:\Intership\data\Tumor- (2032).jpg,CT,Abdominal
D:\Intership\data\N22_0_111.jpg,CT,Brain
D:\Intership\data\5893.jpg,XRay,Hand
D:\Intership\data\10403.jpg,XRay,Hand
D:\Intership\data\VIRUS-8201141-0001.jpg,XRay,Chest
D:\Intership\data\12374.jpg,XRay,Hand
D:\Intership\data\Cyst- (3633).jpg,CT,Abdominal
D:\Intership\data\BACTERIA-3004188-0001.jpg,XRay,Chest
D:\Intership\data\Not Cancer  (826).jpg,CT,Brain
D:\Intership\data\N20_0_51.jpg,CT,Brain
D:\Intership\data\11912.jpg,XRay,Hand
D:\Intership\data\BACTERIA-1538177-0001.jpg,XRay,Chest
D:\Intership\data\14380.jpg,XRay,Hand
D:\Intership\data\10606.jpg,XRay,Hand
D:\Intership\data\3206.jpg,XRay,Hand
D:\Intership\data\Not Cancer  (1444).jpg,CT,Brain
D:\Intership\data\14828.jpg,XRay,Hand
D:\Intership\data\7038.jpg,XRay,Hand
D:\Intership\data\BACTERIA-5326583-0001.jpg,XRay,Chest
D:\Intership\data\Cancer (1758).jpg,CT,Brain
D:\Intership\data\2132.jpg,XRay,Hand
D:\Intership\data\N23_0_26.jpg,CT,Brain
D:\Intership\data\5731.jpg,XRay,Hand
D:\Intership\data\Not Cancer  (1371).jpg,CT,Brain
D:\Intership\data\7250.jpg,XRay,Hand
D:\Intership\data\11022.jpg,XRay,Hand
D:\Intership\data\Cyst- (1539).jpg,CT,Abdominal
D:\Intership\data\Normal- (1497).jpg,CT,Abdominal
D:\Intership\data\Normal- (4314).jpg,CT,Abdominal
D:\Intership\data\Normal- (2608).jpg,CT,Abdominal
D:\Intership\data\19_0_7.jpg,CT,Brain
D:\Intership\data\Cancer (1729).jpg,CT,Brain
D:\Intership\data\6182.jpg,XRay,Hand
D:\Intership\data\N12_0_14.jpg,CT,Brain
D:\Intership\data\5162.jpg,XRay,Hand
D:\Intership\data\Normal- (4518).jpg,CT,Abdominal
D:\Intership\data\7_0_91.jpg,CT,Brain
D:\Intership\data\NORMAL-1031320-0001.jpg,XRay,Chest
D:\Intership\data\Normal- (953).jpg,CT,Abdominal
D:\Intership\data\Cyst- (1152).jpg,CT,Abdominal
D:\Intership\data\Tumor- (659).jpg,CT,Abdominal
D:\Intership\data\6687.jpg,XRay,Hand
D:\Intership\data\N23_0_101.jpg,CT,Brain
D:\Intership\data\VIRUS-4538599-0001.jpg,XRay,Chest
D:\Intership\data\Cyst- (1130).jpg,CT,Abdominal
D:\Intership\data\Not Cancer  (161).jpg,CT,Brain
D:\Intership\data\Cancer (826).jpg,CT,Brain
D:\Intership\data\Not Cancer  (1806).jpg,CT,Brain
D:\Intership\data\Tumor- (553).jpg,CT,Abdominal
D:\Intership\data\5613.jpg,XRay,Hand
D:\Intership\data\VIRUS-3134196-0003.jpg,XRay,Chest
D:\Intership\data\Cyst- (2620).jpg,CT,Abdominal
D:\Intership\data\VIRUS-7262896-0001.jpg,XRay,Chest
D:\Intership\data\Not Cancer  (986).jpg,CT,Brain
D:\Intership\data\Cancer (1746).jpg,CT,Brain
D:\Intership\data\Cancer (954).jpg,CT,Brain
D:\Intership\data\Cancer (2203).jpg,CT,Brain
D:\Intership\data\Cyst- (1803).jpg,CT,Abdominal
D:\Intership\data\Normal- (3460).jpg,CT,Abdominal
D:\Intership\data\BACTERIA-60241-0001.jpg,XRay,Chest
D:\Intership\data\BACTERIA-9424776-0005.jpg,XRay,Chest
D:\Intership\data\15018.jpg,XRay,Hand
D:\Intership\data\Cancer (1407).jpg,CT,Brain
D:\Intership\data\9416.jpg,XRay,Hand
D:\Intership\data\N3_0_29.jpg,CT,Brain
D:\Intership\data\9351.jpg,XRay,Hand
D:\Intership\data\2230.jpg,XRay,Hand
D:\Intership\data\Tumor- (1748).jpg,CT,Abdominal
D:\Intership\data\8807.jpg,XRay,Hand
D:\Intership\data\13133.jpg,XRay,Hand
D:\Intership\data\Not Cancer  (1519).jpg,CT,Brain
D:\Intership\data\7148.jpg,XRay,Hand
D:\Intership\data\Normal- (452).jpg,CT,Abdominal
D:\Intership\data\Cyst- (1582).jpg,CT,Abdominal
D:\Intership\data\Normal- (2425).jpg,CT,Abdominal
D:\Intership\data\NORMAL-5693915-0002.jpg,XRay,Chest
D:\Intership\data\ventrikler-parankimal kanama_0_14.jpg,CT,Brain
D:\Intership\data\15104.jpg,XRay,Hand
D:\Intership\data\9406.jpg,XRay,Hand
D:\Intership\data\BACTERIA-7505456-0003.jpg,XRay,Chest
D:\Intership\data\Tumor- (51).jpg,CT,Abdominal
D:\Intership\data\6_0_128.jpg,CT,Brain
D:\Intership\data\Cyst- (3052).jpg,CT,Abdominal
D:\Intership\data\5632.jpg,XRay,Hand
D:\Intership\data\N11_0_26.jpg,CT,Brain
D:\Intership\data\8444.jpg,XRay,Hand
D:\Intership\data\Cyst- (2701).jpg,CT,Abdominal
D:\Intership\data\Not Cancer  (1312).jpg,CT,Brain
D:\Intership\data\N7_0_135.jpg,CT,Brain
D:\Intership\data\N24_0_129.jpg,CT,Brain
D:\Intership\data\Normal- (4331).jpg,CT,Abdominal
D:\Intership\data\N15_0_41.jpg,CT,Brain
D:\Intership\data\Normal- (711).jpg,CT,Abdominal
D:\Intership\data\Tumor- (330).jpg,CT,Abdominal
D:\Intership\data\8927.jpg,XRay,Hand
D:\Intership\data\Normal- (2740).jpg,CT,Abdominal
D:\Intership\data\Cyst- (32).jpg,CT,Abdominal
D:\Intership\data\3037.jpg,XRay,Hand
D:\Intership\data\6778.jpg,XRay,Hand
D:\Intership\data\N3_0_197.jpg,CT,Brain
D:\Intership\data\Normal- (3750).jpg,CT,Abdominal
D:\Intership\data\Not Cancer  (678).jpg,CT,Brain
D:\Intership\data\Not Cancer  (327).jpg,CT,Brain
D:\Intership\data\Cyst- (387).jpg,CT,Abdominal
D:\Intership\data\1681.jpg,XRay,Hand
D:\Intership\data\7397.jpg,XRay,Hand
D:\Intership\data\Cyst- (1331).jpg,CT,Abdominal
D:\Intership\data\Normal- (2950).jpg,CT,Abdominal
D:\Intership\data\11213.jpg,XRay,Hand
D:\Intership\data\7355.jpg,XRay,Hand
D:\Intership\data\2280.jpg,XRay,Hand
D:\Intership\data\Not Cancer  (1477).jpg,CT,Brain
D:\Intership\data\VIRUS-7606234-0001.jpg,XRay,Chest
D:\Intership\data\Cyst- (3054).jpg,CT,Abdominal
D:\Intership\data\Normal- (1647).jpg,CT,Abdominal
D:\Intership\data\N16_0_71.jpg,CT,Brain
D:\Intership\data\1495.jpg,XRay,Hand
D:\Intership\data\3680.jpg,XRay,Hand
D:\Intership\data\N12_0_83.jpg,CT,Brain
D:\Intership\data\8847.jpg,XRay,Hand
D:\Intership\data\Cyst- (2235).jpg,CT,Abdominal
D:\Intership\data\N7_0_22.jpg,CT,Brain
D:\Intership\data\VIRUS-1167498-0001.jpg,XRay,Chest
D:\Intership\data\VIRUS-7365227-0002.jpg,XRay,Chest
D:\Intership\data\Normal- (3355).jpg,CT,Abdominal
D:\Intership\data\Normal- (3402).jpg,CT,Abdominal
D:\Intership\data\Normal- (1499).jpg,CT,Abdominal
D:\Intership\data\N26_0_67.jpg,CT,Brain
D:\Intership\data\11_0_28.jpg,CT,Brain
D:\Intership\data\N18_0_61.jpg,CT,Brain
D:\Intership\data\17_0_1.jpg,CT,Brain
D:\Intership\data\2404.jpg,XRay,Hand
D:\Intership\data\Tumor- (1196).jpg,CT,Abdominal
D:\Intership\data\Cyst- (2522).jpg,CT,Abdominal
D:\Intership\data\2226.jpg,XRay,Hand
D:\Intership\data\12842.jpg,XRay,Hand
D:\Intership\data\BACTERIA-8321175-0003.jpg,XRay,Chest
D:\Intership\data\20_0_127.jpg,CT,Brain
D:\Intership\data\Normal- (3637).jpg,CT,Abdominal
D:\Intership\data\2678.jpg,XRay,Hand
D:\Intership\data\5328.jpg,XRay,Hand
D:\Intership\data\Not Cancer  (441).jpg,CT,Brain
D:\Intership\data\Normal- (4305).jpg,CT,Abdominal
D:\Intership\data\Tumor- (944).jpg,CT,Abdominal
D:\Intership\data\Cancer (1926).jpg,CT,Brain
D:\Intership\data\5236.jpg,XRay,Hand
D:\Intership\data\Cyst- (3475).jpg,CT,Abdominal
D:\Intership\data\Normal- (1025).jpg,CT,Abdominal
D:\Intership\data\4_0_105.jpg,CT,Brain
D:\Intership\data\000096 (2).jpg,CT,Chest
D:\Intership\data\Tumor- (1636).jpg,CT,Abdominal
D:\Intership\data\Not Cancer  (1747).jpg,CT,Brain
D:\Intership\data\1577.jpg,XRay,Hand
D:\Intership\data\VIRUS-6669017-0002.jpg,XRay,Chest
D:\Intership\data\9662.jpg,XRay,Hand
D:\Intership\data\Cyst- (637).jpg,CT,Abdominal
D:\Intership\data\3363.jpg,XRay,Hand
D:\Intership\data\Stone- (960).jpg,CT,Abdominal
D:\Intership\data\Cancer (718).jpg,CT,Brain
D:\Intership\data\BACTERIA-8550709-0005.jpg,XRay,Chest
D:\Intership\data\N2_0_100.jpg,CT,Brain
D:\Intership\data\N15_0_133.jpg,CT,Brain
D:\Intership\data\Normal- (3818).jpg,CT,Abdominal
D:\Intership\data\Normal- (2438).jpg,CT,Abdominal
D:\Intership\data\NORMAL-9031828-0001.jpg,XRay,Chest
D:\Intership\data\13646.jpg,XRay,Hand
D:\Intership\data\11_0_198.jpg,CT,Brain
D:\Intership\data\4_0_207.jpg,CT,Brain
D:\Intership\data\10057.jpg,XRay,Hand
D:\Intership\data\Cyst- (184).jpg,CT,Abdominal
D:\Intership\data\N20_0_109.jpg,CT,Brain
D:\Intership\data\7303.jpg,XRay,Hand
D:\Intership\data\9060.jpg,XRay,Hand
D:\Intership\data\Normal- (4303).jpg,CT,Abdominal
D:\Intership\data\Cyst- (960).jpg,CT,Abdominal
D:\Intership\data\2024.jpg,XRay,Hand
D:\Intership\data\NORMAL-4669070-0001.jpg,XRay,Chest
D:\Intership\data\6501.jpg,XRay,Hand
D:\Intership\data\N18_0_49.jpg,CT,Brain
D:\Intership\data\000066.jpg,CT,Chest
D:\Intership\data\3651.jpg,XRay,Hand
D:\Intership\data\BACTERIA-1612812-0001.jpg,XRay,Chest
D:\Intership\data\BACTERIA-1041881-0002.jpg,XRay,Chest
D:\Intership\data\Not Cancer  (651).jpg,CT,Brain
D:\Intership\data\Normal- (2146).jpg,CT,Abdominal
D:\Intership\data\Tumor- (612).jpg,CT,Abdominal
D:\Intership\data\15584.jpg,XRay,Hand
D:\Intership\data\Cyst- (3000).jpg,CT,Abdominal
D:\Intership\data\N22_0_148.jpg,CT,Brain
D:\Intership\data\Not Cancer  (1082).jpg,CT,Brain
D:\Intership\data\NORMAL-28501-0001.jpg,XRay,Chest
D:\Intership\data\2395.jpg,XRay,Hand
D:\Intership\data\000106 (7).jpg,CT,Chest
D:\Intership\data\11226.jpg,XRay,Hand
D:\Intership\data\7 (2) - Copy.jpg,CT,Chest
D:\Intership\data\Not Cancer  (626).jpg,CT,Brain
D:\Intership\data\10886.jpg,XRay,Hand
D:\Intership\data\VIRUS-6906971-0002.jpg,XRay,Chest
D:\Intership\data\Cyst- (2765).jpg,CT,Abdominal
D:\Intership\data\Normal- (2807).jpg,CT,Abdominal
D:\Intership\data\N24_0_37.jpg,CT,Brain
D:\Intership\data\10988.jpg,XRay,Hand
D:\Intership\data\Normal- (4191).jpg,CT,Abdominal
D:\Intership\data\Tumor- (1641).jpg,CT,Abdominal
D:\Intership\data\Tumor- (417).jpg,CT,Abdominal
D:\Intership\data\Cancer (459).jpg,CT,Brain
D:\Intership\data\Not Cancer  (1127).jpg,CT,Brain
D:\Intership\data\Cyst- (1272).jpg,CT,Abdominal
D:\Intership\data\BACTERIA-7620642-0001.jpg,XRay,Chest
D:\Intership\data\Cancer (2009).jpg,CT,Brain
D:\Intership\data\11968.jpg,XRay,Hand
D:\Intership\data\Not Cancer  (2043).jpg,CT,Brain
D:\Intership\data\Normal- (4971).jpg,CT,Abdominal
D:\Intership\data\Cyst- (1466).jpg,CT,Abdominal
D:\Intership\data\1632.jpg,XRay,Hand
D:\Intership\data\IMG-0001-00027.jpg,CT,Brain
D:\Intership\data\2034.jpg,XRay,Hand
D:\Intership\data\JPCNN065.jpg,XRay,Chest
D:\Intership\data\8_0_142.jpg,CT,Brain
D:\Intership\data\13305.jpg,XRay,Hand
D:\Intership\data\NORMAL-8106741-0001.jpg,XRay,Chest
D:\Intership\data\VIRUS-1612812-0005.jpg,XRay,Chest
D:\Intership\data\14635.jpg,XRay,Hand
D:\Intership\data\10771.jpg,XRay,Hand
D:\Intership\data\BACTERIA-4238020-0001.jpg,XRay,Chest
D:\Intership\data\Cancer (841).jpg,CT,Brain
D:\Intership\data\Cancer (2138).jpg,CT,Brain
D:\Intership\data\13889.jpg,XRay,Hand
D:\Intership\data\000004 (4).jpg,CT,Chest
D:\Intership\data\Stone- (973).jpg,CT,Abdominal
D:\Intership\data\N3_0_19.jpg,CT,Brain
D:\Intership\data\ID_0007_AGE_0061_CONTRAST_1_CT.jpg,CT,Chest
D:\Intership\data\VIRUS-9597998-0007.jpg,XRay,Chest
D:\Intership\data\Normal- (1217).jpg,CT,Abdominal
D:\Intership\data\Cyst- (2007).jpg,CT,Abdominal
D:\Intership\data\VIRUS-3893778-0004.jpg,XRay,Chest
D:\Intership\data\8_0_120.jpg,CT,Brain
D:\Intership\data\N23_0_120.jpg,CT,Brain
D:\Intership\data\Cyst- (661).jpg,CT,Abdominal
D:\Intership\data\BACTERIA-3991605-0001.jpg,XRay,Chest
D:\Intership\data\NORMAL-559372-0001.jpg,XRay,Chest
D:\Intership\data\3070.jpg,XRay,Hand
D:\Intership\data\5440.jpg,XRay,Hand
D:\Intership\data\9429.jpg,XRay,Hand
